STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
US,0,"149,726,990","70,530,370","54,181,470","21,939,330","80,415,230","290,543,090","96,009,710","3,594,510","1,738,690","154,760","1,701,050","535,240","465,600","21,393,510","34,878,420","10,149,347,083","149,130,110","10,298,992,730","123,854,170","7,070,643,171","42,522,750","94,128,066","27,653,490","255,749,188","25,780,400","199,182,744","20,185,620","31,013,022","24,783,340","337,532,000","24,373,760","694,508,609","14,007,810","250,369,463","28,005,520","683,514,468","1,855,630","6,261,930","27,669,364","19,475,920","276,389,876","8,776,590","627,087,576","38,309,840","149,645,647","3,642,820","928,992","986,630","24,029,003","4,180,520","29,163,828","2,622,740","12,926,236","12,209,790","13,213,963","1,712,440","4,029,009","710,360","12,957,112","44,671,840","1,258,540,565","32,956,930","334,385,832","9,545,200","16,777,964","37,538,300","187,385,681","44,318,460","552,708,163","32,261,720","277,835,282","36,682,400","222,230,425","114,238,050","7,305,661,559","113,764,820","1,507,060,290","4,464,430","31,014,292","3,108,980","2,695,438","46,009,690","72,356,331","7,915,420","22,577,280","6,424,300","3,573,247","9,691,630","10,260,731","8,007,810","1,403,659","22,324,780","26,944,316","2,605,570","2,169,448","19,427,510","59,441,655","5,174,150","18,914,668","5,845,360","20,928,849","6,665,480","3,079,255","141,183,380","1,780,336,200","27,995,920","68,061,561","23,981,080","58,501,938","19,459,580","26,149,293","9,659,530","8,587,974","2,413,510","1,616,655","102,328,500","1,444,098,882","112,488,790","1,534,501,218","3,507,270","7,737,069","3,844,480","22,028,481","29,014,330","161,290,453","112,492,350","354,149,897"
US,1,"2,141,730","1,305,500","651,260","90,890","1,358,570","3,198,170","527,900","26,330","13,790",420,"12,120",510,40,"69,260","933,900","-202,394,511","1,545,050","-199,960,848","573,290","19,921,960","653,690","4,690,387","461,990","4,860,343","423,460","3,377,462","61,130","294,999","692,430","-8,712,627","653,670","15,386,292","154,950","2,457,649","236,200","3,015,672","145,590","18,510","92,819","3,370","21,393","380,050","-42,850,289","489,960","2,433,663","8,450","2,020","3,650","70,319","119,020","635,865","11,630","57,749","89,120","106,199","93,150","333,592","15,000","279,613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,480","211,219","5,900","198,546","34,580","10,395","8,110","20,013",520,146,10,4,"1,500","1,106",690,555,"3,790","3,065",0,0,"259,910","648,249","181,110","978,688","189,610","887,729","3,750","1,544","942,120","5,610,491","197,690","209,398","128,050","137,586","75,890","117,260","134,930","126,223","135,290","138,634","37,020","191,619","336,180","967,577","11,140","22,080","2,110","23,868","196,940","394,208","795,720","4,190,261"
US,2,"21,643,870","17,534,090","1,725,980","2,096,820","9,994,540","20,943,260","4,788,660","982,370","491,420","12,340","478,610","218,520","71,130","2,663,920","3,856,990","113,014,218","21,643,680","116,808,849","16,078,640","92,032,303","2,914,090","1,382,236","1,924,460","2,480,423","1,744,890","1,577,432","174,890","113,845","3,525,210","14,145,261","1,635,960","788,522","901,000","3,494,644","1,962,740","8,984,734","112,210","403,200","1,121,859","50,920","226,876","276,220","-513,812","3,718,200","3,794,631","35,790","7,712","6,080","30,026","222,530","682,180","43,770","137,439","385,250","350,332","339,890","1,029,924","13,810","22,162","778,950","12,545,475","201,550","394,273","419,560","230,699","537,920","1,987,554","734,250","2,742,306","384,800","2,666,315","451,960","584,949","2,338,750","4,126,304","2,259,890","461,731","1,530","6,056","145,640","50,995","154,560","17,791","92,420","3,218",400,106,"30,630","8,657","5,290","1,113","10,570","3,175","2,580",578,"3,002,290","2,400,200","648,000","2,627,702","665,800","2,505,126","27,210","7,074","18,108,720","17,888,144","7,028,780","8,277,790","6,049,010","7,046,230","2,238,690","1,523,421","1,109,460","957,787","451,620","251,107","2,206,590","444,061","5,337,230","2,931,388",940,"1,499","1,500","8,236","2,130,650","1,000,464","16,817,970","15,833,554"
US,3,"32,931,980","19,262,600","4,980,100","8,135,030","16,833,440","56,988,800","20,927,700","1,206,290","628,060","32,120","546,110","212,920","257,130","7,626,140","6,394,120","564,191,288","32,931,980","573,636,855","26,335,440","437,317,925","4,418,000","3,257,274","2,586,560","5,762,532","2,340,830","3,676,097","604,760","368,037","5,781,360","48,043,712","2,127,340","3,355,944","2,016,490","14,235,237","4,629,930","49,276,788","214,790","1,599,850","6,252,725","2,223,240","4,068,928","575,250","1,490,833","6,848,900","9,445,567","193,220","43,939","19,980","119,525","467,230","1,549,197","212,360","673,779","1,515,660","1,403,484","218,730","549,841","28,160","50,669","2,409,040","37,912,050","952,920","1,271,629","1,160,410","827,081","1,619,090","5,391,158","2,327,180","7,973,551","1,183,110","7,583,403","1,626,820","3,645,512","20,618,530","130,758,083","20,506,520","13,915,883","6,890","13,334","861,000","285,807","6,535,040","2,302,661","282,590","27,716","389,880","127,073","2,106,290","1,178,929","2,212,540","359,557","1,800,720","570,695","93,780","25,408","4,838,610","8,270,893","2,125,690","7,439,033","2,153,710","7,333,125","2,458,530","683,096","30,871,350","97,108,444","12,711,060","42,699,990","11,231,380","37,445,224","9,639,840","13,348,909","2,537,050","2,177,242","1,137,730","626,682","16,370,580","11,613,369","20,770,120","20,830,688","2,210","2,997","1,750","7,882","3,259,680","3,468,999","28,494,490","79,549,941"
US,4,"35,077,110","17,665,800","9,104,530","7,276,100","18,005,470","67,846,160","23,827,410","940,990","487,000","47,750","406,250","102,780","112,880","6,501,570","7,060,650","1,269,641,505","35,077,110","1,286,215,879","30,443,880","1,042,823,500","6,815,410","5,146,276","3,860,380","10,372,687","3,527,550","6,994,327","2,506,060","1,550,438","4,453,830","38,977,378","3,189,440","7,766,983","2,611,880","26,054,689","5,928,430","100,581,371","333,580","1,763,800","8,089,829","5,283,390","35,615,427","979,890","6,765,684","8,026,440","16,574,374","701,670","167,080","52,820","432,459","677,750","2,990,777","598,580","2,300,029","3,713,330","4,086,131","213,140","472,522","58,220","132,190","6,684,570","108,320,457","4,125,080","7,764,766","2,054,430","2,247,714","4,759,600","14,755,697","6,563,670","26,377,106","4,010,890","24,777,571","4,890,390","13,318,134","33,538,500","651,313,125","33,347,050","80,352,660","7,490","28,127","1,342,110","911,717","14,212,880","12,205,047","836,080","163,610","1,565,680","902,956","2,918,620","2,931,230","4,632,800","853,416","7,837,240","7,074,201","468,330","194,913","3,183,750","7,806,818","1,782,230","6,279,478","1,984,000","7,070,650","2,774,890","1,100,413","34,131,210","146,924,910","7,979,170","16,841,283","6,513,380","13,849,631","6,445,230","9,661,539","2,160,510","1,852,902","586,300","480,525","27,296,040","68,147,793","29,200,120","77,781,009","5,120","6,896","3,930","12,482","5,329,070","8,488,979","29,169,920","76,762,940"
US,5,"19,944,460","7,913,720","8,996,000","2,462,570","11,064,240","42,258,810","13,330,930","277,340","88,070","28,000","161,270",520,"18,660","2,407,950","5,351,100","1,226,659,619","19,944,460","1,242,137,643","17,129,300","950,489,076","6,534,370","5,616,792","3,845,060","13,225,558","3,553,720","9,279,239","3,631,310","2,731,914","2,933,620","30,078,311","3,219,940","11,496,256","2,313,710","31,291,902","4,798,390","116,152,369","296,470","998,280","4,708,442","4,074,080","61,048,530","975,890","10,332,924","5,905,640","15,478,024","705,020","174,891","66,440","682,889","532,730","2,993,490","530,400","2,403,848","2,737,160","3,108,599","276,700","551,590","67,400","177,067","7,659,190","137,919,047","5,569,450","16,718,872","1,683,650","2,425,970","6,226,570","20,765,943","7,603,690","41,818,805","5,429,350","35,962,300","6,005,840","18,452,796","19,824,610","797,291,180","19,755,890","112,620,861","28,470","51,477","456,390","688,716","8,099,710","11,584,326","1,039,620","298,774","1,037,690","577,098","1,630,600","2,037,685","1,156,490","189,018","5,208,190","7,980,509","536,490","293,939","2,117,600","6,003,497","367,650","1,378,629","558,540","2,111,178","858,720","572,494","19,578,660","140,000,473","79,220","33,100","59,260","23,267","907,830","1,261,505","1,216,310","1,102,984","89,860","103,278","18,791,920","101,036,694","19,119,160","108,499,031","4,910","5,438","4,150","12,018","4,697,640","10,726,246","14,792,090","40,920,104"
US,6,"12,925,290","3,304,520","8,395,360","969,730","7,413,020","30,899,750","9,582,780","96,600","18,990","16,830","60,790",0,"4,280","1,110,650","3,858,890","1,119,853,093","12,925,290","1,132,676,378","11,165,010","844,295,870","5,590,650","5,428,227","3,444,660","14,059,441","3,205,450","10,180,339","3,590,410","3,222,381","2,169,800","26,422,944","2,914,340","14,185,670","1,902,930","34,062,350","3,648,240","110,582,518","239,900","623,470","2,941,662","2,926,140","57,813,293","917,960","12,972,639","3,992,830","12,823,285","625,680","164,970","74,960","894,215","414,800","2,684,245","392,270","2,037,937","1,598,920","1,820,521","86,150","165,053","68,150","213,848","6,926,330","141,214,905","5,420,540","23,270,025","1,224,640","2,184,383","5,977,660","22,678,929","6,903,290","50,018,752","5,283,380","39,374,659","5,717,940","19,764,436","12,889,970","786,685,417","12,853,290","117,681,718","78,630","136,816","154,170","365,902","5,637,720","9,314,311","1,007,960","362,076","946,190","544,427","1,242,240","1,595,170",0,0,"3,745,540","6,265,941","459,050","317,784","1,595,290","5,143,384","61,350","185,912","170,840","591,533","294,290","287,132","12,756,240","136,128,927",0,0,0,0,"117,920","180,217","900,820","828,410","11,670","14,732","12,708,400","108,367,458","12,764,260","114,710,296","7,210","7,834","4,450","10,396","3,461,520","10,149,618","9,082,390","30,102,726"
US,7,"18,339,660","2,793,390","14,590,550","740,570","10,843,720","49,087,110","16,161,380","61,370","10,880","16,370","34,120",0,"1,480","928,210","5,394,240","2,480,181,406","18,339,660","2,511,159,222","16,213,170","1,860,123,716","10,286,750","13,201,352","7,071,830","41,057,175","6,676,180","31,209,335","7,196,080","8,398,428","3,560,090","68,264,504","6,230,160","53,573,889","2,981,420","80,748,961","5,281,840","211,016,093","353,780","714,860","3,631,994","3,740,290","86,292,379","2,229,360","57,775,851","6,699,780","30,977,816","1,161,620","314,192","277,700","4,549,829","848,340","6,769,711","674,710","3,795,234","2,170,350","2,338,697","484,670","926,487","175,740","812,327","13,936,090","357,398,407","11,445,760","82,440,967","2,074,400","4,931,867","12,631,450","62,497,599","13,915,460","154,484,401","11,215,620","100,671,391","12,212,530","51,602,039","18,313,510","1,874,357,949","18,284,000","326,455,100","632,040","1,534,699","99,230","320,493","8,269,030","11,679,438","2,374,810","1,559,239","1,825,130","1,051,598","1,761,760","2,507,954",0,0,"3,716,210","5,044,331","791,540","786,230","2,729,760","11,944,946","8,120","25,226","105,920","363,244","207,300","312,076","18,151,160","351,440,811",0,0,0,0,"34,180","56,442","1,600,470","1,542,426","1,040","1,697","18,217,010","314,776,662","18,247,720","329,398,902","169,900","54,166","77,280","74,725","6,536,560","31,140,712","10,995,910","47,473,733"
US,8,"5,419,600","604,720","4,632,650","135,280","3,763,270","15,517,930","5,467,970","3,210",490,940,"1,780",0,0,"83,120","1,606,720","1,544,179,196","5,419,600","1,572,198,056","4,810,530","1,054,742,777","4,101,760","12,296,123","3,387,420","44,871,231","3,264,260","35,743,553","1,913,210","4,363,765","1,313,440","68,503,545","3,293,310","83,708,572","927,150","44,461,867","1,297,500","70,791,543","118,960","128,110","751,643","953,170","25,007,599","1,623,080","131,013,524","1,945,210","28,018,860","198,560","51,017","322,470","9,162,066","598,200","6,554,104","123,180","1,156,400",0,0,0,0,"155,960","1,664,077","5,070,550","219,858,888","4,206,680","72,842,823","767,290","2,703,322","4,655,100","37,963,563","5,065,480","115,726,717","3,921,210","50,687,422","4,634,850","34,530,209","5,413,060","1,270,190,626","5,413,270","301,952,702","3,218,300","16,581,559","14,060","53,960","2,254,900","5,173,557","1,567,010","3,783,319","574,750","318,625",0,0,0,0,"2,530","2,399","217,650","378,968","1,241,480","9,524,354",0,0,"15,010","58,175","34,700","92,957","5,356,060","302,343,769",0,0,0,0,0,0,0,0,0,0,"5,401,860","296,780,495","5,411,960","312,174,385","2,377,220","1,837,997","2,615,310","2,686,775","2,756,520","38,007,501","2,047,570","17,182,860"
US,9,"864,920","94,670","738,780","21,380","734,880","2,538,790","935,700",0,0,0,0,0,0,"2,300","269,800","583,356,220","864,920","595,944,725","743,090","326,732,235","783,610","7,025,925","686,210","23,975,337","667,630","19,266,558","293,030","2,068,172","235,360","24,962,354","708,460","59,883,991","134,710","8,475,195","150,070","8,433,846","24,710","9,510","61,928","143,910","4,032,714","490,890","112,892,684","426,880","12,588,505","10,500","2,598","104,030","4,629,801","181,550","2,474,520","23,980","242,448",0,0,0,0,"61,970","1,603,733","806,080","68,977,081","682,550","32,198,896","115,150","558,202","753,140","10,599,457","805,020","43,921,403","582,020","10,602,015","757,790","14,356,876","863,600","514,142,739","864,380","151,573,302","401,020","5,272,087","1,430","5,874","519,370","4,395,691","429,440","3,608,663","65,550","38,931",0,0,0,0,0,0,"26,160","89,141","288,790","3,482,284",0,0,"1,540","6,410","4,230","15,519","853,970","149,515,018",0,0,0,0,0,0,0,0,0,0,"862,080","147,182,713","864,060","155,976,214","621,070","1,975,270","738,330","3,064,917","463,800","20,911,880","192,870","5,198,351"
US,10,"438,370","51,380","366,270","10,960","404,080","1,264,300","459,290",0,0,0,0,0,0,400,"152,030","1,450,665,049","438,370","1,468,175,971","361,820","442,163,809","424,440","36,083,474","384,930","95,084,461","376,450","77,878,402","214,740","7,901,043","118,220","26,846,618","401,140","444,362,490","63,570","5,086,969","72,180","4,679,534","15,640","2,340","16,463","77,420","2,262,737","328,010","337,207,538","256,020","17,510,922","2,310",573,"58,520","3,457,874","118,360","1,829,739","11,860","121,373",0,0,0,0,"65,960","8,001,426","401,040","174,394,255","352,410","97,483,581","45,680","668,726","377,780","10,745,781","400,420","109,645,122","251,340","5,510,206","384,280","65,975,474","437,510","1,276,796,136","438,050","401,835,114","84,180","7,191,591",370,"1,579","318,370","15,663,496","284,970","12,770,519","19,030","12,429",0,0,0,0,0,0,"9,990","82,487","170,040","4,217,030",0,0,410,"1,679","1,850","6,950","433,900","433,375,213",0,0,0,0,0,0,0,0,0,0,"437,000","395,558,018","437,990","411,231,728","307,570","3,822,892","395,680","16,127,182","181,950","37,001,846","103,410","36,935,427"
AL,0,"2,053,780","834,360","763,260","415,780","1,172,510","4,166,330","1,467,150","46,150","24,920","4,300","16,920","8,000","15,430","457,140","477,240","111,842,765","2,046,850","113,297,599","1,710,270","80,343,912","502,210","793,851","268,480","1,751,662","246,430","1,378,445","319,050","342,096","345,370","3,132,672","228,790","4,338,380","171,620","2,802,839","421,850","10,093,717","45,210","58,030","174,095","290,740","3,860,996","95,860","6,290,180","467,390","1,454,834","47,850","12,167","6,950","157,409","45,610","310,440","27,310","124,310","132,880","141,660","19,420","49,295","5,990","132,231","532,860","12,032,352","430,490","2,227,843","86,590","124,556","428,370","617,825","529,750","3,135,432","385,650","2,773,145","465,810","3,387,071","1,492,240","75,181,743","1,493,010","13,942,487","22,740","107,139","41,730","30,252","631,580","743,180","63,690","46,737","97,510","52,802","145,890","154,935","122,450","22,023","331,870","386,772","39,240","19,897","251,130","639,644","79,690","275,868","87,010","296,048","70,530","29,981","1,961,000","17,660,208","521,470","1,444,699","468,040","1,280,133","360,980","482,250","173,110","163,898","39,550","22,002","1,303,520","13,224,033","1,458,830","14,120,653","25,150","44,068","30,390","115,186","361,990","1,735,459","1,607,200","4,862,119"
AL,1,"25,940","14,390","9,570","1,100","17,580","40,180","5,870",460,260,0,200,0,0,"1,370","12,300","-1,726,383","19,010","-1,703,524","5,430","172,160","7,680","46,650","4,850","49,833","4,470","37,608",860,"3,581","9,620","-123,839","6,600","109,966","2,070","28,410","3,350","42,419","2,810",160,594,60,326,"4,550","-404,560","5,490","22,859",90,21,30,465,"1,610","8,558",130,651,710,824,920,"3,295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,010",986,50,755,930,231,110,78,0,0,10,4,30,15,10,10,60,30,0,0,"3,130","7,379","3,690","19,018","3,810","17,758",50,23,"12,770","54,888","2,270","2,385","1,390","1,554",910,"1,387","2,060","1,972","2,530","2,004",920,908,"4,550","9,735",90,141,20,117,"2,890","4,122","10,970","41,391"
AL,2,"294,120","221,480","25,900","43,170","147,060","311,840","84,530","10,260","6,340",420,"3,510","2,930","2,220","59,750","47,870","1,634,805","294,120","1,687,109","227,220","1,286,143","32,040","18,862","17,710","23,623","16,120","15,829","2,890","1,369","49,200","196,318","15,410","7,485","11,300","47,487","25,520","128,049","2,530","5,260","13,524",730,"3,563","3,080","-6,765","49,820","52,304",490,108,60,354,"3,450","11,978",550,"1,616","3,950","3,565","3,880","11,978",90,75,"10,860","153,524","3,140","3,919","5,910","3,781","5,350","5,677","10,280","15,280","4,940","28,274","7,410","12,702","28,690","50,605","29,580","6,023",10,45,"3,050","1,042","1,660",250,860,31,0,0,370,100,70,17,180,55,60,13,"41,370","35,480","13,170","52,169","13,450","50,092",360,86,"258,580","315,870","111,690","165,835","101,210","142,608","41,680","30,113","22,480","20,919","9,220","4,321","28,910","5,773","72,270","42,638",20,20,0,0,"22,650","10,515","245,020","283,019"
AL,3,"542,360","260,010","84,080","189,730","308,490","1,045,060","440,810","16,620","10,100",650,"5,870","3,610","9,520","195,760","101,750","9,222,806","542,360","9,354,262","442,770","7,364,425","60,690","45,574","26,340","52,980","23,260","35,839","11,200","5,364","97,090","608,665","20,880","31,393","26,860","189,093","80,060","909,461","5,660","20,510","60,981","37,120","66,518","6,100","8,333","100,020","131,456","2,860",669,150,866,"6,320","23,558","2,580","7,160","16,310","14,594","3,000","8,257",170,157,"38,800","555,432","18,110","19,924","17,060","13,983","19,690","17,657","37,840","59,929","17,860","93,615","30,120","93,493","295,020","1,755,393","296,870","187,881",60,145,"15,130","4,920","104,300","35,980","2,040",84,"8,630","2,788","32,820","17,211","32,710","5,569","31,370","9,427","2,520",749,"74,970","121,055","37,770","123,790","38,310","123,148","30,490","8,948","516,800","1,898,900","268,190","985,693","248,830","889,237","201,390","280,968","57,130","55,570","20,180","9,370","223,020","151,902","301,440","286,341",30,24,10,80,"40,010","38,129","487,890","1,651,256"
AL,4,"494,840","205,870","145,670","128,120","275,770","1,010,930","371,960","12,010","6,550",970,"4,500","1,470","3,120","126,040","107,060","17,780,721","494,840","17,960,247","427,780","14,639,799","90,330","69,774","40,240","98,542","35,800","69,691","48,550","26,586","63,310","256,632","31,460","70,332","34,530","331,048","99,340","1,791,754","8,580","14,700","41,460","88,680","579,130","10,710","53,804","94,600","179,526","11,910","2,867",340,"2,305","7,420","35,682","6,750","23,069","38,730","41,397","2,670","6,832",280,496,"102,300","1,557,159","74,270","125,699","23,500","29,106","65,990","55,301","101,190","234,889","60,670","320,887","84,880","330,106","473,690","8,663,403","471,920","1,053,491",60,213,"15,640","10,557","218,050","193,962","6,610",385,"29,090","16,621","46,060","48,659","71,650","13,600","122,360","108,261","11,050","5,501","37,950","82,881","21,050","68,713","23,290","78,066","28,670","11,506","484,050","2,054,363","138,230","290,339","115,780","246,411","104,450","152,699","37,770","35,317","6,780","5,428","370,460","859,530","395,860","964,902",80,91,20,84,"73,210","107,016","415,340","1,187,341"
AL,5,"261,110","79,500","139,180","35,360","154,750","583,390","183,200","3,700","1,220",760,"1,720",0,440,"42,090","72,750","16,043,677","261,110","16,199,081","224,070","12,367,742","81,220","69,080","38,910","124,378","35,230","90,502","59,620","39,911","40,380","257,308","31,390","108,157","28,690","373,027","72,070","1,790,157","7,590","7,720","24,816","61,700","916,487","10,850","102,066","68,110","155,404","9,040","2,267",400,"3,880","5,140","30,379","5,330","21,878","28,940","31,964","2,570","5,757",390,984,"98,670","1,698,217","79,980","203,833","16,220","24,681","77,600","72,309","98,390","326,440","71,250","413,810","84,400","389,711","259,940","10,252,524","259,340","1,412,813",340,509,"4,490","6,960","113,010","166,262","8,540",762,"17,830","9,684","24,520","31,775","18,010","2,827","75,340","113,631","9,080","5,072","26,730","67,347","3,530","10,988","5,470","18,760","7,230","4,703","257,340","1,744,181","1,090",447,830,323,"11,130","14,876","18,720","17,393",770,788,"247,670","1,246,551","251,320","1,331,125",50,48,20,20,"63,360","136,964","192,680","536,372"
AL,6,"166,510","28,380","124,510","10,940","99,770","423,290","132,300","1,490",280,550,670,0,90,"18,190","49,830","14,419,538","166,510","14,552,938","144,490","10,892,315","69,460","66,239","35,330","133,562","32,370","99,889","54,820","42,849","29,000","252,384","29,020","139,786","23,240","405,022","52,790","1,606,699","6,150","4,690","15,281","41,670","832,238","10,510","135,997","50,100","133,400","8,660","2,340",450,"4,906","4,120","27,158","4,140","19,981","20,350","23,611",940,"2,078",490,"1,508","80,700","1,577,954","68,730","238,753","10,500","19,217","70,630","76,074","80,600","357,651","64,790","427,820","71,640","392,201","166,230","10,111,217","165,910","1,464,162",700,"1,202","1,510","3,527","76,220","129,535","8,720","1,118","15,650","8,818","18,060","23,549",0,0,"54,440","90,156","6,490","3,297","20,220","58,516",430,"1,056","1,640","4,963","2,100","1,987","164,840","1,671,109",0,0,0,0,"1,110","1,636","13,140","12,097",80,91,"164,660","1,334,630","165,160","1,408,220",70,77,30,70,"46,070","129,489","116,240","376,510"
AL,7,"211,480","20,170","182,940","6,350","125,610","586,030","191,650","1,480",180,870,430,0,40,"13,120","65,090","28,141,808","211,480","28,427,548","188,090","20,954,166","115,670","147,269","69,600","374,951","64,890","292,580","108,310","111,927","40,870","623,694","59,540","499,592","34,140","894,994","72,190","2,852,427","8,660","4,500","15,645","48,280","1,124,883","25,060","647,874","74,200","285,740","13,220","3,504","1,860","27,222","8,050","65,771","6,320","35,022","23,880","25,705","5,450","11,098","1,520","6,976","148,030","3,478,197","134,810","722,306","11,540","26,942","138,120","203,201","147,940","1,006,057","125,220","991,273","136,540","939,800","211,300","21,529,917","211,030","3,678,949","3,180","7,929",870,"2,642","95,300","129,014","20,340","6,694","22,230","12,621","24,040","33,626",0,0,"48,090","65,191","8,320","3,726","30,140","121,663",60,134,930,"2,875","1,380","1,992","209,840","3,849,057",0,0,0,0,320,571,"21,820","20,630",0,0,"210,590","3,549,935","210,840","3,704,361","1,150",383,630,420,"82,710","381,700","120,820","474,501"
AL,8,"46,930","3,600","42,170",820,"33,890","134,850","45,760",120,0,100,30,0,0,790,"16,680","13,217,963","46,930","13,468,641","41,440","8,275,196","35,370","116,575","27,220","359,394","26,170","294,676","26,780","54,073","12,580","661,210","25,910","675,496","9,030","435,835","14,540","849,044","2,380",460,"1,695","10,390","277,377","17,050","1,506,595","18,510","250,678","1,470",365,"2,520","70,427","6,270","68,174","1,180","11,343",0,0,0,0,"1,630","18,511","43,530","1,669,161","41,680","455,977","1,660","5,778","41,460","120,216","43,520","601,914","34,420","386,649","41,140","509,670","46,890","11,059,228","46,890","2,534,590","15,820","57,085",100,325,"16,940","27,220","11,560","17,319","3,650","2,014",0,0,0,0,20,21,"1,520",980,"12,320","93,355",0,0,100,334,220,558,"46,420","2,496,328",0,0,0,0,0,0,0,0,0,0,"46,830","2,507,371","46,900","2,648,464","16,710","12,302","20,730","21,483","25,490","384,644","16,110","139,285"
AL,9,"7,310",630,"6,450",140,"6,590","21,710","7,960",0,0,0,0,0,0,20,"2,630","4,928,683","7,310","5,043,524","6,250","2,402,147","6,670","58,469","5,590","190,331","5,450","157,568","4,000","19,917","2,310","227,713","5,770","485,329","1,260","72,467","1,380","83,440",530,30,99,"1,440","40,421","5,250","1,301,313","4,390","114,841",90,21,850,"34,663","2,100","25,684",230,"2,398",0,0,0,0,740,"21,218","6,990","521,962","6,830","172,735",150,670,"6,680","37,884","6,980","215,704","4,840","80,103","6,750","213,289","7,300","4,403,337","7,300","1,280,701","2,070","21,206",20,48,"3,940","14,419","3,200","7,770",350,204,0,0,0,0,0,0,140,201,"2,980","31,005",0,0,20,52,30,130,"7,220","1,246,096",0,0,0,0,0,0,0,0,0,0,"7,300","1,266,304","7,310","1,339,183","4,900","14,246","6,120","25,081","4,050","210,225","1,580","41,195"
AL,10,"3,180",320,"2,770",50,"3,020","9,060","3,120",0,0,0,0,0,0,0,"1,280","8,179,147","3,180","8,307,773","2,740","1,989,819","3,090","155,359","2,710","344,068","2,660","284,263","2,020","36,519","1,010","172,587","2,810","2,210,844",510,"25,456",620,"40,267",320,0,0,680,"20,053","2,720","2,945,523","2,160","128,626",20,5,300,"12,321","1,110","13,498",120,"1,192",0,0,0,0,700,"82,306","3,000","820,746","2,950","284,697",50,398,"2,860","29,506","3,000","317,568","1,660","30,714","2,940","506,099","3,180","7,356,119","3,180","2,322,891",450,"18,050",0,0,"2,060","46,460","1,820","12,574",80,48,0,0,0,0,0,0,50,358,"1,310","20,963",0,0,0,0,10,48,"3,150","2,329,416",0,0,0,0,0,0,0,0,0,0,"3,180","2,301,129","3,180","2,385,684","2,070","16,736","2,810","67,831","1,550","332,655",570,"131,249"
AK,0,"362,250","185,640","129,680","37,840","149,480","671,580","210,430","14,930","6,400","1,700","6,820","1,950","1,390","48,300","70,070","25,060,929","361,820","25,426,741","304,700","17,646,819","92,000","148,731","85,320","385,368","76,650","292,322","2,590","3,769","57,150","911,524","52,260","826,542","23,180","458,822","63,950","2,025,773","1,540","83,560","237,252","36,710","512,830","19,030","1,535,977","91,500","365,812","7,940","2,060","2,640","57,691","8,610","67,750","6,190","29,571","30,250","31,697","6,230","10,830","2,130","33,926","80,860","1,689,779","20,620","25,237","21,720","24,225","71,950","318,714","77,610","382,769","66,390","638,118","58,230","335,752","311,070","19,128,504","316,160","3,708,353","3,890","14,753","5,520","6,764","114,680","152,811","16,990","25,228","14,080","8,467","21,740","21,104","16,150","2,745","65,540","83,682","5,250","3,185","44,340","152,199","10,150","70,635","11,080","76,458","19,970","12,836","336,200","4,230,575","47,960","99,054","40,650","87,637","31,490","41,692","17,030","14,472","3,930","4,225","287,920","3,558,571","301,400","3,773,971","7,180","10,020","8,240","22,523","93,780","409,926","251,300","735,910"
AK,1,"3,220","1,990",930,160,"2,200","4,940",890,10,0,0,10,0,0,80,"1,320","-238,996","2,790","-235,038",930,"33,670","1,170","5,060",720,"3,415",640,"2,150",10,16,"1,610","-30,135",920,"11,535",210,"4,363",400,"7,389",100,130,400,0,0,700,"-72,553",880,"3,958",10,3,0,0,180,"1,262",30,78,170,216,200,682,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,228,20,190,20,6,170,43,0,0,0,0,0,0,10,3,140,33,0,0,420,"1,017",220,"1,995",240,"1,930",0,0,"1,530","10,702",290,317,190,195,140,216,100,90,140,199,50,185,540,"1,347",20,38,0,0,290,581,"1,250","7,305"
