STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N21020,A21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
US,0,"149,853,100","71,125,860","54,116,260","21,473,010","80,110,150","288,917,070","94,246,940","3,357,330","1,622,810","136,920","1,597,600","484,710","1,721,590","20,338,380","35,682,760","10,200,123,989","149,273,120","10,352,297,061","123,952,790","7,187,733,797","42,525,930","95,757,087","27,470,250","251,621,537","25,585,240","199,313,833","20,771,230","33,700,962","25,247,590","337,945,333","24,139,920","618,949,579","14,322,500","255,046,348","27,896,270","695,119,723","1,832,600","5,694,070","26,186,039","19,840,700","285,022,263","8,716,870","625,858,800","38,678,890","152,173,072","3,711,600","948,585","990,680","24,411,575","4,156,870","30,008,226","2,661,430","13,168,608","12,310,050","13,195,221","1,711,770","4,034,852","726,310","13,344,998","45,472,700","1,297,100,819","9,095,210","92,372,906","33,387,110","337,502,315","9,802,410","17,823,458","37,991,490","196,081,064","45,121,250","565,919,247","18,833,690","9,747,224","32,680,160","278,520,965","991,280","4,926,662","2,257,510","1,549,991","4,553,750","7,156,863","1,363,550","14,285,358","37,127,560","235,733,648","13,058,070","115,700,006","1,276,750","23,131,093","115,342,340","7,313,949,069","114,990,880","1,501,506,707","4,594,670","30,985,398","3,124,850","2,913,389","45,731,550","70,408,480","7,852,990","20,366,719","6,509,210","3,646,888","9,148,490","9,760,591","8,493,460","1,527,757","22,078,390","26,689,111","2,722,810","2,411,733","19,502,080","59,460,031","5,527,370","23,067,151","6,293,190","25,529,813","4,953,490","3,628,017","141,426,880","1,789,578,007","27,320,140","66,143,727","23,278,350","56,616,932","18,527,820","24,737,463","8,721,850","7,736,111","2,408,500","1,775,539","103,855,580","1,439,015,863","113,355,620","1,528,418,271","3,676,980","7,753,602","3,896,700","19,603,865","28,626,330","155,221,480","113,056,190","357,709,491"
US,1,"2,140,950","1,299,870","660,330","88,160","1,355,690","3,192,670","517,640","25,420","14,230",350,"10,850",470,470,"63,710","968,890","-202,555,365","1,561,200","-200,085,926","571,300","20,018,726","668,580","4,778,048","479,300","4,767,178","438,770","3,439,648","63,340","331,287","696,620","-8,991,856","666,970","12,539,364","162,300","2,461,072","238,340","3,054,358","161,000","17,010","87,339","3,470","22,224","379,210","-44,578,423","485,800","2,469,439","9,680","2,308","3,590","68,062","117,090","643,750","11,760","59,573","88,820","104,327","89,010","317,573","21,750","324,143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,400","162,475","5,000","149,144","33,380","11,263","8,000","25,029",600,164,0,0,"1,500","1,060",600,454,"3,770","2,857",0,0,"253,790","629,284","206,530","1,258,310","218,820","1,163,092","2,350","1,593","942,400","5,702,709","190,090","200,022","122,570","131,952","72,290","112,257","109,150","102,652","153,550","160,221","35,860","137,843","326,410","1,164,616","11,230","21,184","2,070","21,218","189,700","356,225","798,060","4,176,324"
US,2,"20,979,270","17,094,840","1,694,300","1,913,040","9,743,980","20,066,050","4,445,830","881,050","434,570","9,790","436,680","188,750","213,910","2,424,630","3,900,360","109,369,012","20,979,050","113,067,642","15,536,290","89,962,486","2,857,830","1,344,668","1,888,540","2,585,862","1,711,450","1,680,762","187,890","124,634","3,458,090","13,444,375","1,583,660","353,045","932,820","3,652,325","1,930,720","8,882,567","114,270","323,990","920,421","52,360","228,207","271,820","-610,490","3,593,740","3,698,630","41,080","8,885","6,100","32,955","218,590","660,879","44,380","141,728","361,250","322,337","326,160","997,861","14,690","30,106","800,470","13,099,696","568,730","5,477,452","204,490","418,087","427,560","256,605","553,750","2,115,356","754,280","2,926,043","235,400","97,357","390,320","2,661,235","12,140","69,067","19,510","9,927","52,580","93,090","16,020","24,969","469,480","608,664","332,440","1,067,693","18,740","117,412","2,259,000","3,914,510","2,229,540","446,757","1,320","4,701","149,040","52,363","141,790","17,863","80,420","3,126",430,147,"30,370","8,279","5,540","1,197","10,170","3,583","2,830",639,"2,909,830","2,309,099","685,560","3,208,468","718,600","3,121,956","19,200","9,339","17,532,240","17,279,394","6,664,810","7,693,114","5,692,890","6,555,112","2,038,040","1,376,605","925,390","795,153","448,610","262,264","2,176,820","428,974","5,188,660","2,823,115",990,"1,267","1,410","6,984","2,071,660","1,011,032","16,273,820","15,054,432"
US,3,"32,284,230","19,214,070","4,826,340","7,699,330","16,432,230","54,903,310","19,709,320","1,120,920","583,930","28,650","508,340","195,060","861,440","6,888,290","6,469,010","554,740,760","32,284,230","564,117,645","25,737,540","430,388,286","4,344,850","3,189,190","2,538,050","5,841,069","2,296,150","3,829,820","636,760","395,427","5,822,050","47,382,481","2,079,240","2,346,289","2,047,210","14,705,427","4,588,120","48,940,734","215,280","1,371,350","5,486,504","2,277,300","4,216,112","568,170","1,396,672","6,754,690","9,376,885","193,870","44,196","20,440","130,764","466,030","1,517,474","220,070","708,614","1,435,810","1,290,508","221,500","559,225","30,410","62,249","2,444,450","39,088,232","1,436,320","13,076,334","942,740","1,296,087","1,191,650","913,881","1,626,250","5,623,064","2,361,750","8,329,208","800,500","366,251","1,176,780","7,455,329","34,990","175,145","53,590","31,011","200,590","323,079","33,260","50,773","1,654,430","3,759,554","878,720","5,293,387","61,920","424,530","20,394,570","130,287,275","20,329,530","13,895,903","6,290","10,274","838,940","278,661","6,319,890","2,219,600","286,690","28,191","375,520","120,966","1,939,410","1,101,735","2,246,640","379,139","1,720,120","547,689","98,650","28,448","4,807,670","8,243,304","2,185,320","8,820,461","2,232,940","8,742,163","1,644,760","892,510","30,237,300","94,563,171","12,283,870","41,081,086","10,817,870","35,893,721","9,037,980","12,451,565","2,196,140","1,863,774","1,085,180","656,355","16,390,250","11,676,443","20,451,880","21,011,482","2,450","3,381","1,740","8,918","3,328,950","3,641,743","27,810,980","76,604,872"
US,4,"35,586,670","18,251,000","8,939,420","7,337,040","18,077,890","67,784,050","23,436,420","904,290","471,380","43,280","389,630","99,640","515,970","6,316,400","7,224,140","1,288,990,620","35,586,670","1,305,803,309","30,903,320","1,062,788,847","6,756,370","5,095,833","3,799,410","10,439,485","3,470,860","7,215,912","2,502,670","1,593,497","4,615,240","39,577,559","3,127,350","5,922,173","2,647,990","26,779,419","5,897,990","100,767,586","328,500","1,622,720","7,668,261","5,341,100","36,377,333","966,550","6,692,639","8,203,000","16,812,689","703,910","167,907","54,050","458,784","672,140","2,968,296","614,270","2,376,840","3,762,400","4,047,209","215,300","482,559","61,030","152,488","6,786,550","111,306,243","2,411,810","21,202,906","4,125,200","7,804,144","2,140,820","2,496,147","4,758,930","15,304,480","6,668,660","27,299,197","2,540,640","1,220,984","4,007,680","24,425,857","118,460","567,679","181,900","153,310","1,101,670","1,662,873","67,630","111,573","4,934,870","13,783,257","2,605,650","20,545,140","158,880","1,108,063","34,037,100","662,908,226","33,866,870","82,115,742","7,410","25,366","1,344,500","943,106","14,214,220","12,105,830","847,820","165,736","1,579,960","912,082","2,761,520","2,785,153","4,885,160","921,322","7,747,180","7,005,350","489,150","223,838","3,254,250","7,932,748","1,937,630","7,659,840","2,151,190","8,526,670","2,141,220","1,366,524","34,647,920","150,211,936","8,061,860","17,128,452","6,560,620","14,006,876","6,306,340","9,272,353","1,982,480","1,693,957","602,920","545,614","27,936,010","70,010,195","29,658,650","79,814,234","5,280","6,829","3,770","12,728","5,384,610","8,717,339","29,639,120","77,617,913"
US,5,"20,232,230","8,202,930","8,912,120","2,514,440","11,109,880","42,418,690","13,287,920","268,880","86,870","24,940","157,070",800,"95,460","2,429,180","5,489,880","1,243,894,606","20,232,230","1,259,642,019","17,366,350","966,719,423","6,504,800","5,649,823","3,787,320","13,232,206","3,499,420","9,518,433","3,638,500","2,815,492","3,008,630","30,231,760","3,162,580","9,126,614","2,351,740","32,065,800","4,783,690","117,894,828","288,260","931,790","4,560,077","4,140,640","62,492,537","960,430","10,250,106","6,042,130","15,747,413","713,890","177,123","66,360","696,418","523,020","3,012,640","536,600","2,448,841","2,816,490","3,182,681","286,560","577,665","69,250","191,223","7,759,550","141,062,693","1,876,060","17,990,350","5,590,010","16,860,983","1,743,960","2,664,202","6,258,610","21,618,398","7,703,920","43,141,496","3,135,400","1,424,359","5,465,390","35,631,462","156,850","714,179","289,920","234,124","1,463,800","2,358,184","90,120","152,720","6,028,920","18,912,198","2,610,920","19,972,928","188,500","1,424,339","20,101,800","808,025,191","20,036,480","114,523,646","27,620","48,592","471,250","750,008","8,068,520","11,464,281","1,039,190","301,547","1,032,960","579,552","1,532,410","1,920,162","1,355,530","225,645","5,168,830","7,896,594","556,340","341,492","2,145,450","6,020,286","423,730","1,812,444","628,410","2,654,835","696,230","637,793","19,869,910","143,712,124","119,510","41,053","84,400","29,271","913,730","1,272,478","1,127,350","1,023,349","102,550","129,236","19,065,140","103,059,405","19,376,220","110,433,966","5,020","7,615","3,950","12,657","4,599,890","10,703,281","15,172,400","42,267,914"
US,6,"13,037,450","3,414,600","8,364,330","989,300","7,426,010","30,910,740","9,512,880","94,360","19,950","14,620","59,800",0,"24,860","1,135,290","3,963,300","1,129,630,672","13,037,450","1,142,637,306","11,231,170","851,946,767","5,566,610","5,538,166","3,394,220","14,011,915","3,155,350","10,411,634","3,610,280","3,335,530","2,218,600","26,594,992","2,867,370","11,569,165","1,942,360","34,920,842","3,640,310","112,950,126","232,500","586,360","2,879,215","2,986,370","59,561,678","903,250","12,862,826","4,041,380","13,006,634","628,750","165,679","74,200","901,967","409,400","2,746,607","392,490","2,053,782","1,611,440","1,830,923","85,850","166,141","69,800","228,038","6,992,110","143,656,541","1,234,620","12,703,085","5,435,320","23,425,048","1,259,110","2,368,265","5,998,730","23,558,114","6,969,100","51,311,446","2,985,500","1,400,473","5,305,580","38,951,583","153,730","662,054","327,990","241,297","1,332,070","2,336,458","103,820","189,503","5,720,190","20,147,315","2,043,420","15,193,033","176,360","1,495,134","12,997,870","792,274,197","12,962,460","119,036,365","77,800","129,971","163,120","414,381","5,577,550","9,219,428","997,530","359,001","943,390","548,755","1,180,400","1,518,755",0,0,"3,705,840","6,187,768","474,440","362,043","1,614,690","5,162,032","77,290","269,143","197,610","760,029","242,440","296,884","12,869,080","138,823,105",0,0,0,0,"123,250","191,570","845,640","778,010","14,340","19,690","12,811,000","109,817,031","12,867,910","116,066,206","7,080","6,974","4,150","12,343","3,362,710","10,034,036","9,285,610","31,083,165"
US,7,"18,689,710","2,887,300","14,815,850","760,620","10,974,380","49,789,950","16,288,770","59,500","11,360","14,460","33,680",0,"9,400","985,370","5,584,540","2,530,502,807","18,689,710","2,562,229,638","16,500,450","1,904,091,271","10,399,330","13,814,298","7,065,440","41,398,501","6,658,430","32,204,154","7,494,140","8,986,084","3,694,300","69,341,901","6,208,320","46,618,580","3,078,730","83,099,634","5,303,900","217,420,349","343,330","694,650","3,678,593","3,851,110","90,048,490","2,221,970","58,135,431","6,873,370","31,726,831","1,196,420","324,894","277,150","4,610,026","847,700","7,045,037","682,600","3,853,357","2,233,840","2,417,236","487,400","933,828","177,500","844,875","14,222,130","366,169,537","1,383,360","16,878,648","11,660,080","84,279,427","2,116,710","5,263,261","12,843,460","65,410,511","14,202,290","159,685,377","6,403,190","3,378,457","11,419,340","101,021,807","352,820","1,494,266","867,600","570,981","403,030","383,143","358,610","871,856","12,385,080","53,054,791","3,457,420","27,056,000","380,880","4,459,188","18,659,390","1,909,219,461","18,629,940","332,972,952","643,150","1,553,004","107,470","387,374","8,282,910","11,707,880","2,356,090","1,517,971","1,871,940","1,087,439","1,702,860","2,425,447",0,0,"3,720,000","5,042,918","828,950","852,333","2,797,000","12,019,579","11,310","38,485","125,380","474,183","172,080","307,126","18,501,770","362,350,310",0,0,0,0,"36,200","60,635","1,535,690","1,479,216","1,350","2,159","18,559,950","321,265,626","18,592,060","335,745,213","182,350","55,321","77,040","64,566","6,324,800","30,299,003","11,539,260","50,620,817"
US,8,"5,604,270","619,590","4,797,660","139,200","3,858,170","16,058,550","5,658,730","2,920",520,840,"1,560",0,90,"92,800","1,656,940","1,596,560,760","5,604,270","1,625,258,762","4,999,390","1,109,107,823","4,224,100","12,847,747","3,457,260","45,510,860","3,323,090","37,056,421","2,093,490","4,961,961","1,371,930","68,857,615","3,348,420","76,576,093","957,860","44,493,027","1,298,330","72,425,462","112,800","134,010","821,311","968,960","25,754,747","1,636,140","133,995,676","2,002,110","28,698,002","210,940","54,366","324,750","9,232,140","601,450","6,901,006","124,200","1,167,927",0,0,0,0,"156,200","1,741,485","5,258,380","229,885,648","174,850","4,337,405","4,381,620","76,274,252","772,040","2,819,896","4,817,210","40,474,151","5,253,610","121,859,494","2,276,380","1,420,736","4,075,270","52,236,762","131,690","817,777","413,870","249,692",20,36,"390,950","1,800,694","4,791,360","36,068,638","936,000","11,097,166","183,010","4,935,534","5,596,790","1,310,097,070","5,597,240","312,034,267","3,335,530","17,095,002","15,280","67,227","2,298,770","5,097,234","1,556,690","3,473,439","615,200","342,971",0,0,0,0,"2,480","2,352","233,900","407,664","1,263,630","9,508,194",0,0,"17,970","76,412","29,670","91,341","5,542,280","316,526,172",0,0,0,0,0,0,0,0,0,0,"5,586,270","306,938,338","5,596,710","322,286,888","2,525,960","1,963,904","2,678,920","2,566,858","2,741,060","37,032,377","2,230,630","18,645,549"
US,9,"873,450","92,920","749,320","21,490","739,790","2,570,630","948,440",0,0,0,0,0,0,"2,400","273,820","588,115,314","873,450","601,082,073","754,770","334,751,417","791,920","7,286,702","689,390","23,980,649","669,290","19,653,747","322,980","2,422,535","243,560","25,403,226","709,460","54,627,567","137,840","8,200,367","146,410","8,332,285","22,450","9,890","67,471","143,230","4,067,140","490,910","115,570,625","432,300","12,966,759","10,800","2,672","105,620","4,757,549","183,580","2,614,452","23,760","241,459",0,0,0,0,"61,810","1,672,086","818,740","71,705,062","8,080","545,720","700,240","33,226,226","110,350","556,264","766,030","11,164,954","817,860","45,518,607","317,380","264,848","594,300","10,818,654","20,360","241,887","73,230","40,270",0,0,"156,680","1,516,390","769,310","15,167,241","126,010","3,820,526","55,810","2,933,553","871,930","516,307,282","872,860","152,668,767","410,690","5,302,531","1,490","7,171","516,460","4,222,657","420,110","3,267,344","70,740","42,383",0,0,0,0,0,0,"28,040","99,998","290,250","3,499,784",0,0,"1,820","8,328","3,840","16,838","863,170","152,654,624",0,0,0,0,0,0,0,0,0,0,"870,690","148,451,000","872,590","157,141,291","635,780","2,035,743","741,350","2,867,992","453,400","19,823,244","204,460","5,417,028"
US,10,"424,870","48,730","356,600","10,400","392,140","1,222,430","441,010",0,0,0,0,0,0,310,"151,890","1,360,874,803","424,870","1,378,544,593","352,210","417,958,751","411,540","36,212,612","371,330","89,853,812","362,430","74,303,302","221,190","8,734,515","118,580","26,103,280","386,590","399,270,689","63,650","4,668,435","68,480","4,451,428","14,220","2,310","16,847","76,160","2,253,795","318,430","332,143,738","250,360","17,669,790","2,260",555,"58,420","3,522,910","117,870","1,898,085","11,310","116,487",0,0,0,0,"63,880","8,098,305","390,320","181,127,167","1,380","161,006","347,410","93,918,061","40,220","484,937","368,530","10,812,036","389,780","105,848,379","139,310","173,759","245,510","5,318,276","10,250","184,608","29,910","19,379",0,0,"146,460","9,566,880","373,920","74,231,990","67,500","11,654,133","52,660","6,233,340","423,880","1,180,915,857","424,580","373,649,833","79,870","6,666,813",390,"1,835","303,460","14,328,678","267,860","11,250,200","19,070","12,593",0,0,0,0,0,0,"10,510","95,278","165,520","4,135,721",0,0,460,"2,145","1,700","8,069","420,830","407,754,462",0,0,0,0,0,0,0,0,0,0,"423,590","367,231,008","424,540","381,931,260","300,850","3,651,384","382,310","14,029,601","169,540","33,603,200","101,870","36,221,477"
AL,0,"2,043,750","840,490","758,800","403,470","1,158,130","4,106,980","1,423,020","44,760","24,830","4,530","15,410","7,570","45,040","417,140","488,220","113,629,123","2,036,440","115,159,283","1,699,040","81,266,657","498,820","791,905","266,540","1,753,375","245,140","1,403,321","316,570","356,738","349,830","3,175,474","226,500","4,121,428","175,990","2,869,328","424,820","10,309,830","44,990","52,890","161,368","296,570","4,009,727","95,650","7,110,439","470,200","1,530,160","49,040","12,502","7,000","159,409","45,470","330,096","27,450","126,326","134,780","142,910","19,560","49,482","6,080","170,149","538,830","12,349,043","145,990","1,207,000","431,750","2,303,812","91,680","140,185","430,960","652,678","536,030","3,266,519","376,580","132,978","387,820","2,742,284","10,210","42,119","20,320","13,414","67,500","89,027","13,560","90,513","470,090","3,545,704","168,240","1,343,080","15,230","305,376","1,500,020","76,764,600","1,503,400","14,359,855","22,750","106,298","45,890","36,721","624,210","736,153","63,090","42,188","98,410","53,553","134,370","144,000","130,300","23,891","328,850","383,426","40,890","23,714","250,970","650,693","88,860","375,665","98,390","409,557","48,260","33,734","1,951,790","18,013,200","505,140","1,392,333","451,450","1,229,492","344,230","452,968","146,850","136,470","40,280","24,793","1,320,580","13,639,313","1,463,730","14,544,097","26,370","44,946","31,050","102,994","363,250","1,783,829","1,596,400","4,786,895"
AL,1,"26,470","14,690","9,810","1,080","17,780","40,710","5,790",560,330,10,210,0,20,"1,220","13,010","-1,729,125","19,160","-1,706,142","5,480","172,049","8,020","34,270","4,930","35,915","4,540","26,922",810,"2,418","9,660","-120,784","6,730","83,703","2,180","28,725","3,420","45,771","3,000",140,467,60,334,"4,440","-371,032","5,310","22,983",110,26,30,427,"1,520","8,264",140,669,750,869,850,"3,026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200","1,974",50,"1,668","1,080",282,140,115,0,0,0,0,30,15,10,11,80,34,0,0,"3,050","7,363","4,630","27,891","4,870","26,906",30,20,"13,250","51,748","2,130","2,179","1,320","1,406",830,"1,242","1,730","1,655","3,260","2,474","1,090","1,859","4,520","10,247",100,131,20,39,"2,930","4,335","11,540","37,469"
AL,2,"285,790","217,900","25,100","39,340","143,400","296,860","78,260","9,250","5,810",430,"3,000","2,570","5,630","52,540","48,280","1,582,417","285,790","1,632,268","220,860","1,259,018","31,540","17,779","17,340","24,339","15,870","16,711","2,910","1,384","46,900","177,910","14,980","3,552","11,660","48,896","25,410","129,684","2,550","4,310","11,036",730,"3,509","3,080","-8,714","47,050","49,851",540,119,50,209,"3,380","11,731",520,"1,685","3,520","3,131","3,690","11,634",90,59,"11,130","160,863","8,830","81,414","3,230","4,548","6,090","4,264","5,440","6,335","10,520","17,017","5,550","1,465","4,870","27,397",130,614,160,69,850,"1,236",190,382,"7,630","13,278","5,090","16,840",270,"1,528","28,530","49,531","30,390","6,252",10,33,"3,460","1,212","1,800",303,770,29,20,6,450,124,80,12,310,106,70,14,"39,020","33,103","13,980","67,843","14,750","67,638",280,142,"251,070","294,740","104,800","152,127","94,500","131,266","38,540","27,482","17,090","15,574","9,240","4,577","29,470","5,949","69,860","40,354",10,74,10,5,"22,420","10,872","237,640","263,153"
AL,3,"529,850","259,710","80,340","181,430","297,480","1,000,250","413,130","16,290","10,240",670,"5,390","3,530","25,180","172,430","102,400","9,030,485","529,850","9,159,372","431,040","7,211,514","59,370","44,053","25,880","54,300","22,960","37,729","11,400","5,440","97,280","587,547","20,330","22,250","27,380","193,629","79,820","908,336","5,620","18,030","52,378","37,970","69,008","5,950","7,198","98,700","128,887","2,860",666,160,967,"6,160","22,934","2,610","7,259","15,800","13,716","3,070","8,482",110,104,"39,000","564,141","27,250","215,600","17,740","20,105","17,640","15,365","19,400","18,127","38,030","62,447","21,520","6,457","17,700","91,981",490,"2,107",500,415,"3,770","5,264",350,654,"30,340","95,974","15,130","80,516","1,040","6,756","292,680","1,759,161","295,670","189,422",60,127,"16,230","5,385","100,690","34,377","2,050",83,"8,420","2,677","28,520","15,209","33,980","5,874","30,970","9,416","2,720",962,"74,240","121,108","39,890","161,137","41,300","163,136","18,860","10,600","504,340","1,825,894","258,250","944,320","238,730","848,834","190,890","263,512","44,500","41,793","19,350","10,086","225,770","155,046","297,810","290,394",40,43,10,43,"41,340","40,655","474,200","1,569,665"
AL,4,"495,790","211,110","141,810","127,430","272,050","996,110","360,130","11,840","6,710","1,030","4,110","1,450","11,770","117,300","109,080","17,835,603","495,790","18,017,697","427,720","14,683,528","89,030","66,434","39,340","97,996","35,140","70,888","46,190","25,921","64,790","256,543","30,790","55,341","35,230","339,387","99,510","1,802,286","8,160","13,890","40,644","89,520","592,381","10,310","55,938","96,190","182,094","12,290","2,979",320,"2,212","7,310","35,777","6,770","23,078","39,510","41,647","2,720","7,020",280,495,"102,170","1,559,598","46,310","335,787","73,340","126,453","24,750","31,899","65,440","58,013","101,430","241,418","63,180","18,569","59,750","309,476","1,570","6,618","1,780","1,697","18,670","24,002",690,"1,099","84,750","334,071","42,430","282,540","2,470","16,193","474,820","8,736,513","473,290","1,067,364",60,279,"17,080","12,048","215,320","190,421","6,700",386,"29,140","16,709","41,810","43,835","75,270","14,651","120,340","107,055","11,560","6,611","38,230","84,496","25,020","99,253","27,350","111,115","20,490","13,380","485,080","2,061,921","138,230","293,119","115,650","247,553","101,110","143,382","32,850","30,087","7,400","6,530","375,110","876,943","397,970","983,889",60,87,20,26,"73,880","110,859","415,890","1,173,304"
AL,5,"263,150","82,330","137,620","35,740","154,550","583,160","182,500","3,610","1,240",750,"1,630",10,"1,860","40,980","74,930","16,164,653","263,150","16,323,296","225,270","12,442,479","80,380","69,320","38,370","125,056","34,790","92,839","57,820","39,565","41,120","262,406","30,800","92,047","29,310","383,274","72,710","1,825,299","7,430","7,300","23,956","63,000","943,980","10,800","101,252","69,000","158,643","9,140","2,282",390,"3,169","5,200","32,046","5,390","22,865","29,410","32,445","2,650","5,959",380,931,"99,470","1,723,592","29,690","239,463","79,650","204,477","17,350","27,914","77,320","75,583","99,200","334,511","67,690","19,860","70,940","401,178","1,620","6,127","2,390","2,067","21,010","28,020",950,"2,049","84,750","403,289","36,790","278,983","2,500","21,510","261,840","10,318,117","261,280","1,426,745",300,431,"5,220","8,757","112,680","165,048","8,660",937,"17,900","9,715","22,760","29,248","20,960","3,343","74,990","112,955","9,550","6,298","27,100","68,163","4,590","17,213","6,780","27,809","5,520","4,888","259,400","1,765,090","1,740",588,"1,250",433,"11,380","14,981","16,950","15,712",920,"1,011","249,340","1,261,696","252,970","1,346,191",70,78,30,39,"63,250","140,460","194,800","542,261"
AL,6,"167,090","29,170","124,100","11,050","99,700","421,180","130,040","1,520",310,590,620,0,450,"18,290","51,520","14,475,334","167,090","14,611,274","144,320","10,885,772","68,340","66,258","34,860","132,245","31,950","101,344","53,340","42,563","29,500","249,244","28,510","119,085","23,620","416,051","53,250","1,656,796","6,120","4,460","15,182","42,560","863,967","10,390","142,294","50,520","135,940","8,820","2,393",480,"4,859","3,970","28,715","3,900","18,920","20,500","23,747","1,020","2,165",480,"1,484","80,670","1,585,182","16,990","146,127","68,030","239,329","11,200","21,905","70,380","79,110","80,560","364,380","58,810","18,410","64,550","414,843","1,520","5,637","2,720","2,233","17,910","26,203","1,020","2,168","71,240","397,348","24,890","203,364","1,990","18,972","166,780","10,142,319","166,470","1,473,516",680,"1,159","1,650","4,497","74,790","127,666","8,490","1,240","15,560","8,861","17,310","22,639",0,0,"53,520","88,441","6,520","3,679","20,360","58,545",660,"2,064","1,970","7,572","1,740","2,012","165,420","1,687,472",0,0,0,0,"1,140","1,684","12,530","11,557",100,101,"165,220","1,345,850","165,720","1,418,461",60,74,30,49,"45,600","129,732","117,230","381,021"
AL,7,"216,280","20,960","186,850","6,370","128,110","597,760","194,690","1,560",190,940,430,0,150,"13,560","67,410","28,829,536","216,280","29,129,739","192,230","21,514,415","115,770","149,145","69,520","377,787","64,900","301,920","109,940","116,734","43,550","652,731","59,210","452,879","35,300","909,500","73,720","2,945,537","8,830","4,300","15,867","49,710","1,180,430","25,070","661,886","77,350","300,203","13,700","3,637","1,810","28,673","8,120","71,244","6,530","36,065","25,320","27,355","5,550","11,196","1,550","7,443","151,060","3,550,535","15,470","155,400","136,860","741,440","12,470","30,823","140,510","215,205","150,980","1,042,551","117,510","44,163","127,860","992,537","3,530","12,600","7,600","4,645","5,290","4,302","3,680","9,589","138,900","963,966","34,930","309,799","3,790","51,636","216,110","22,042,687","215,850","3,771,293","3,120","8,292","1,020","3,866","95,620","130,270","19,990","6,204","23,030","13,178","23,490","32,930",0,0,"48,630","65,399","8,560","4,280","31,720","125,720",90,264,"1,190","4,631","1,140","1,969","214,530","3,969,440",0,0,0,0,340,685,"21,200","20,092",10,14,"215,360","3,641,022","215,590","3,798,873","1,320",432,630,302,"82,570","388,065","125,480","497,864"
AL,8,"48,590","3,650","43,690",860,"35,130","139,470","47,220",130,0,110,20,0,0,800,"17,560","13,697,090","48,590","13,962,079","42,860","8,626,350","36,350","122,008","27,920","366,057","26,800","305,603","27,950","58,621","13,360","700,202","26,500","624,800","9,460","448,788","15,040","888,058","2,420",460,"1,787","10,840","292,810","17,350","1,577,193","19,220","264,989","1,500",377,"2,580","70,762","6,470","75,043","1,240","12,177",0,0,0,0,"1,660","20,779","45,030","1,742,459","1,380","28,319","42,840","473,738","1,990","7,014","42,670","129,122","45,020","630,892","34,790","17,896","35,420","390,850","1,140","5,791","3,960","1,766",0,0,"3,890","18,462","42,520","538,033","7,520","94,733","1,970","62,785","48,540","11,442,366","48,540","2,625,938","16,030","55,640",130,611,"17,140","22,305","11,450","11,495","3,910","2,167",0,0,0,0,20,20,"1,690","1,131","12,760","97,261",0,0,160,685,170,493,"48,060","2,604,242",0,0,0,0,0,0,0,0,0,0,"48,500","2,603,636","48,560","2,748,415","17,520","13,032","21,230","20,809","25,730","396,240","17,380","149,228"
AL,9,"7,490",630,"6,680",120,"6,830","22,280","8,110",0,0,0,0,0,0,20,"2,700","5,073,842","7,490","5,198,144","6,480","2,489,966","6,870","63,120","5,650","192,038","5,500","164,387","4,190","23,241","2,580","234,520","5,810","443,711","1,300","69,525","1,340","71,773",550,20,51,"1,470","41,922","5,460","1,438,054","4,600","124,302",70,17,870,"34,233","2,220","29,575",240,"2,499",0,0,0,0,810,"26,563","7,230","557,132",60,"4,890","7,050","180,936",160,844,"6,900","39,463","7,230","225,961","5,430","4,033","5,020","82,229",140,"1,521",880,332,0,0,"1,640","13,742","6,960","244,559","1,000","26,464",670,"36,294","7,490","4,514,413","7,490","1,319,228","2,030","20,611",10,63,"3,930","15,266","3,180","7,066",340,192,0,0,0,0,0,0,160,345,"3,100","32,471",0,0,10,65,40,230,"7,430","1,300,483",0,0,0,0,0,0,0,0,0,0,"7,490","1,304,022","7,490","1,377,641","5,090","14,849","6,250","23,839","3,990","206,583","1,650","44,926"
