table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,1,"All returns, total",9,150493263.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,2,No adjusted gross income,10,2072066.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,3,"$1 under $5,000",11,10134703.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,4,"$5,000 under $10,000",12,11398595.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,5,"$10,000 under $15,000",13,12219481.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,6,"$15,000 under $20,000",14,11228447.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,7,"$20,000 under $25,000",15,9981450.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,8,"$25,000 under $30,000",16,8832875.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,9,"$30,000 under $40,000",17,14913880.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,10,"$40,000 under $50,000",18,11625418.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,11,"$50,000 under $75,000",19,19980117.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,12,"$75,000 under $100,000",20,12821791.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,13,"$100,000 under $200,000",21,18532593.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,14,"$200,000 under $500,000",22,5428176.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,15,"$500,000 under $1,000,000",23,884335.0
tab12,2015,15in12ms.xls,agi,count,all,all,Number of returns,All returns | Number of returns,B,2,16,"$1,000,000 under $1,500,000",24,195905.0
